Question,Answer
Do i need a separate cord if my computer doesnt have usb 3.0?,"If I remember correctly, I used the included USB 3 cable to hook up to an old laptop with only USB 2 capability, as well as to hook up to a much newer MacBook Pro thru a USB 2 hub."
Is this drive formatted gpt or mbr?,Probably NTSB
I need this for recording tv with my digital converter box. Will it format to fat32?,Yes
How do you hook it up to your smart tv to veiw movies.,try to hook it up to an hdmi port
Can it be plugged into a router for remote file access or like a NAS,"Hello friend, how are you?"
smb1 protocol?,No. No protocols at all. Its the simplest disk available. You can connect it only using its USB connection
Will the 4tb version of this drive work with a channel master ota dvr?,Yes
how big is it?,"4.35"" (110.5 mm) x 3.23"" (82 mm) x 0.82"" (21 mm)"
How can i make this hard drive compatible with my mac and my windows? my goal is to remove my photos from my windows and get rid of that laptop.,Buy the HD adapter for Apple
How do I fix my wd 1tb it's not working?,Try reformatting it or send it back
is this good for students who work with cameras and short films? Is it compatible with the latest model of macbook pro?,"Yes absolutely, I purchased for my daughter in film school on east coast"
Does it work with Arlo security cameras,Please call WD for technical support.
Will this work with a tablo 4-tuner digital video recorder,Sorry I do not know if this will work. My transfer rates are much slower than I had anticipated. I have been filming several of my son's little league games and putting movies together for him to share with coaches and teammates. From all that I have been researching multimedia and photo transfers are a lot faster
Can this hard drive be use with a smartphone?,I don't think so.
Does it work for ps4?,"Yes it does. That is specifically why I purchased this drive. Super simple, plug and play."
I want to save my genealogy -will this work?,"As long as whatever you are working with is in the form of a file, image, or ect... You can use this to copy it from your computer. Just plug it in and copy it over."
I have an older pc ...gateway from 2012. i just want the 2tb to back up my high res photos. i probably have 6000+ photos. is the 2tb a good fit ? than,2tb will fit probably way more than just 6000 photos
How can i fix this drive so it will install and work on xp sp3?,I just use it as storage for my movies. MacBook Pro
Will it work with fire recast?,I think it is depend on the software version that you have. ??
Does this drive come with a usb cord?,Yes
Is this for a windows laptop,Yes it is formatted for windows. It can be used for desktops or laptops
. Does it work for ps4? Last one I had corrupted All my files and deleted 20+ games on my ps4 lost progress on many games.,Yes..perfect work..load same game..used possible 2..3month..possible u left them on hot ps4?)i have 2 child..)more hours console work per day ..never stopped..or collapsed..try keep some distance from hot console..
How much power request for this device?,Interesting question. I am not exactly sure. I don't have anything that measures the amount of power being used. It uses a usb cord to run it ... Sorry I cannot be more helpful.
I want to use this to record my video gameplay from my laptop so I can reduce the stress in my laptop. Will it work in that way?,Yes. You can use this to become a extension of your laptop. Just plug it in and you are ready to save all files. Anything your laptop can save this can.
What are the batteries about ?,My portable external drive does not require batteries. None needed.
How is this usb 3.0 and 2.0 compatible? There is only a plug for usb 3.0,The 3.0 and 2.0 plug is a combined plug on the external hard drive and a 2.0 only on the other end. The needed cord is supplied.
Will it back up your phone pictures,you bet as long as you can acess the pics on your phone do it all the time
Is this device backward compatible with USB 2.0?,"My laptop is about 7 years old with USB 2.0; and, the drive works great."
How many bytes per sector is this drive formatted?,This drive has an approximate 60 MB/s write and 64 MB/s read speed. I hope this answered your question and I hope you have a wonderful day!
Unable to format to macbook air. not very easy for me apparently. help!,"Based on your MAC OS, go to https://support.wdc.com/knowledgebase/anwer.aspx?ID=3865&lang=eng"
Does it work in Ps4?,"If PS4 has a USB port and you can configure it, it should work."
does the wd remote work with this?,No
How do i format for a mac?,"I have a PC, so I am not sure, but it comes with directions to do it. It is a really great device and I believe you will really like it."
Can I remove picture from my iPhone with usb and plug my usb on the hard dive and save my iPhone picture ?,You could transfer any file or photo from your phone if you transfer from your phone to your PC and then PC to drive.
I have one of these and now suddenly can not move/copy from it back to my desktop computer. Anyone else having this problem?,No
Can you use this with ps4,Yeah you have to go into ps4 setting and format it super easy you click a button and it does the rest
Can I transfer cd's to pc?,"You can't simply transfer an audio CD to a PC. If you have Windows Media player, you can probably covert the data of your CD Audio format to MP3 format and save (rip) that onto a PC and then copy to an External Hard drive. The audio quality of MP3 is not nearly as good, but ,most people don't care. If you are confused see more"
Does it come with an USB cable?,Yes
Why is the weight listed as 1lb but shipping weight 12oz?,"Dont know, could be cord n drive."
Does this have a sd slot?,No.
What does usb 3.0 mean? i have a dell inspiron 5000 series 2 1/2 yr old computer.,"To the ordinary computer user like me USB 3.0 means a faster transfer speed than the older USB 2.0, but you need a USB 3.0 port on your computer to take advantage of this higher transfer speed. This drive does plug into a USB 2,0 port.m and it does work with a computer that runs XP SP3, so I presume it would run on Win see more"
Does this work with the iPad pro 2018?,I hate apple dont care why ask me I am not the maker I bought it it works great it's a hard drive
Can I install steam games directly to this external hard drive?,If it can be stored on xbox internal harddrive then yes ut can be stored on this external harddrive too
Whats difference between portable and desktop,The portable is smaller and is powered form the USB cable connecting It to the computer. It is also a solid state device.
Can it be used as an external hard drive for the ps3?,Excellent day Richard I understand that you have doubts about the compatibility of the WD 2TB Elements Portable External Hard Drive with the PS3 I will be glad to provide you the needed information.
Can you use an extension cable with this drive?,Yes.....but keep in mind that the longer the cable the slower the transfer..
win 10 will it work with,Yes I had no problems
Does this work with a PlayStation 4?,Thank you for your interest in the products we sell.
can I use it on a smart tv to view stored pictures?,I DON'T THINK SO...I IMAGINE YOU NEED TO HAVE THE SOFTWARE TO INTERFACE BETWEEN THE TWO
I am looking for something i can save all my pictures and videos from my old sony vaio laptop as well as my current mac desktop. will this work?,"yes it will work. i use the drive as you describe. however you must be careful wrt drive format. if my memory is correct, format for windows it comes that way."
"After plugging it in and downloading a couple games from steam on to it, my entire PC froze. Is there a fix for this?",I only dowload documents and photos. I wont download anything else. Hit control alt delete to manage removing the game.
Can I set up automatic computer back ups with the hard drive?,I am using it on an iMac 27 and it backs up automatically through time machine app. My son set it for me.
Can this be used across multiple devices? for example can i use this on my computer and my tv,"To put it plainly, yes. It will mainly depend on what your TV supports."
I just received my wd hdd and plugged it in and the light comes on but my pc computer does not recognize it. any suggestions?,Go to windows explorer click on drive icon right click to format.
will this work on a wii u,Dont's know!
Amazon customer service,That's not actually a question...
"I just got mine and the storage is full, i opened it and no files were inside, is there something I need to do to properly get it started?",Format it
Will this work for a wiiU?,Maybe
Is it easy to backup an iPhone on this?,You cant connect a USB drive to an iPhone.
Can this device plug directly into my iPhone 6 plus?,No. You cant connect any USB hard drive directly to an iPhone. There are some Lightning flash drives and some wireless solutions.
Can i use for both windows and mac (without having to erase any files saved on this drive when i go between windows and mac) ?,You can create separate partitions on it for windows and mac file systems.
does it include usb wire?,"Excellent day I understand that you have doubts about the WD 2TB Elements Portable External Hard Drive you would like to know if the device comes with a USB cable included, I will be glad to provide you the needed information."
Is anyone else having a problem getting the cable plugged in to the 5tb drive? it feels like i really have to force it in. can't be good for it.,I only have 3 -4TB drives but there is no issue....sounds like a defective/deformed male or female connector. I have 17 large external hard drives mostly by WD and there has never been an issue like that.
has anyone taken this drive apart and installed as an internal drive on a laptop? Sometimes they are incompatible,Dont do this. Better buy to purchase raw drive n cheaper too.
I use only macs. i need an external hd to transfer from imac with usb 2 to new imac that uses thunderbolt and usb 3 (i think). will this hd work?,"Although an external hard drive is one option to transfer files, it is not necessary at all. Two iMacs can transfer files in at least 3 ways without any external drive: 1- use your TimeMachine backup to restore on the newer machine. 2- Use Migration Assistant. 3- Use a connecting cable and Target Disk Mode. For d see more"
Has anybody ever tried this with the sling (air tv) box. they do sell hard drive but it's expensive. ( airtv box does have usb 3.0),Don't know. I have not.
Does this work on xbox one slim ?,Maybe
will this work a homeworx box,It worked for a couple weeks- and then it started messing up. I would be watching a recorded program- and it would jump off that program and go to another one. Very frustrating!!!
Can i organize photos into albumns edit photos etc from this drive or.just store them in photobank and move elsewhere to edit ?,You can. It is up to your organizational skills and the software you are using. It is just a drive. Big basket for you to fill up the way you choose.
Is this work for chromebook,That thing is junk. Don't buy one and if you did don't use it. No warranty. Mine worked for two months then lost 550GB of my data.
Does it work on the PS4?,Yeah it works well for the PS4
Can I store photos to and frim a WD usb 2.0 hd?,certainly
Which external hard drive is compatible with mac mojave operating system?,"Excellent day Felixberto I understand that you have doubts about the compatibility of the WD 2TB Elements Portable External Hard Drive with the Mac OS Mojave, I will be glad to provide you with the needed information."
Is it normal for this drive to get very warm to the touch?,Yes. It will get warm to the touch. It should never get uncomfortably hot though.
Is it compatible with chromebook?,If you format it with the Chromebook it should work
Can i format this drive for xbox one AND mac?,It sure works well for my mac.
"What is the safest and most durable case for the wd 4td elements, any advice?",AmazonBasics Hard Carrying Case for My Passport Essential https://www.amazon.com/dp/B003LSTD38?ref=yo_pop_ma_swf
Does it work in PS4?,"I would assume it word work the same, just plug and play, but I cant answer that for sure. They are very close in tech so I dont think it would be a problem."
Will this work with TiVo?,"I don't think it will work. As far as I know, TiVo only allows eSATA connections to external drives. The USB ports on the TiVo are for other things, like a Tuning Adapter and/or keyboard/controls dongles."
Can you transfer videos from GoPro hero 5 black to it?,Yes.
Is this good for storing and playing/loading video games from? Fast enough,Yes
Is there a warranty on a external hard drive !!?,"The warrantee is two years, but you need to keep the original packaging."
This product comes with?,Cable to connect to console/PC
HP Pavilion windows 8 doesn't recognize device?,update your HP
has anyone bought this for their ps4? if so does it really work? and do you leave it plugged in while playing games or unplugged?,"Yes it works for ps4. Yes must stayed plugged in if the game is on that drive. it is simply an extension of your internal drive, without it you wouldn't be able to play"
Can i remove saved dvr movies via an external hard drive? or do i need to use a flash drive.,You should be able to save DVR movies. However it will take up space on the hard drive. It may be more cost effective to use the flash drive depending on the amount of space you need.
does this work with x box 360?,I am not sure if it will work. It works on the Xbox one. Sorry.
does it work with smart tv,I don't know about that one.
"i need to transfer data from my pc to this external memory, but then i have to used this data for my mac. Can i do that?","The drive I bought had a GPT Partition in a NTFS File system. The Mac I use to own would not read that, so you would probably need to covert the drive to a MBR partition and format in FAT 32. The new Mac should be able to do the conversion but I can't remember what needs to be done. You should Google the direction firs see more"
My computer only detects 3.63 TB... Why is that?,That's what 4tb is. A tb is aprox 931gb.
"when I try to unmount this, it says its unmounted but its still vibrating and on, so is the little light, is it safe to disconnect?","While I haven't actually opened mine as yet. If you do not have any files in the drive , then it is safe. If you do have files, I would try ejecting it the right way"
Does it work with apple Mac Mini?,Yes. You will need to reformat it for Mac.
Can I install it on my linux file server and backup windows 10 pro?,Dont know but Id say you can
How many hours of videos/ movies can be stored on the 1 TB drive?,"I don't know how many videos or movies can be stored on this. I do know ,however, that I've stored 3 full backups of 3 different computers on the unit and I still have over 7/8's capacity left I can use."
how do you reformat for MAC?,"I don't think any reformat is needed, but don't know for sure. It is just a storage of information devise and don't know why it would need to be formatted."
Wd elements and wd my passport are the same price which is a better drive?,"I have a Passport also that I use for automatically scheduled backups using the software that came with the Passport. I found out the hard way the Element does not come with that software so I manually backed up the information I wanted, which I really didn't need to be on a backup schedule."
is it easy to install i have a ASUS pc with windos ?,Yes very easy. Just plug and use.
Is this compatible with ps4?,Yes
I used this for extra storage for my ps4. Can i also use it as extra storage for my ps3 or would i have to buy another one?,Just put ps3 games in different folder.
Does it work with Apple Macbook?,"If your Apple Macbook has at least an USB 2.0 port, then yes!"
drive keeps beeping and dont know why,Thats strange. Mine makes no noise. Go to the vendor's support site and see if there are any diagnostic apps that you can download and run.
Will this drive over heat if kept in protective case while in use ?,I have not attempted to run the drive while it is in a separate carrying case. The drive is small enough where it shouldn't be a hindrance.
Is this hard drive password protect?,No it is not. I have purchased before and have not needed a password.
Wd 5tb elements portable external hard drive do automatic back-up?,"Without doing any research, I would say that any automatic backup is set up in your computer. The hard drive is where the backup is stored."
Is this ext drive adequate to store security camera system video.,So far I've stored 80 movies on mine and it works excellent
I just plug it into my computer and all my ictures and videos go onto it?,This is a link explaining how to put your pictures and or videos on a hard drive: https://www.techwalla.com/articles/how-to-transfer-photos-to-an-external-hard-drive
Does it work on xbox 360,Excellent day Donald Sewell I understand that you have some doubts about the compatibility of the WD 4TB Elements Portable External Hard Drive with the Xbox 360. I will be glad to provide you with the needed support.
will it work on windows 10,I do not know yet...!!! We are working first with an old computer with Windows 7...!!! Next week we will know for sure...!!! *-*
What is the difference between Elements and Ultra?,The speed it reads the data. Ultra would be the highest but also use more energy
Does this come with a USB cord?,"Yes, it comes with the cord necessary to use the harddrive that connects through usb."
Is this product water resistant?,No
Is it possible to delete files from the external drive? Assuming you want to delete those files for ever from the computer as well as the drive.,"Except for the fact that it is connected to your computer via a USB 3.0 cable, this drive is no different than the hard drive that resides internally within your computer. You can read, write and execute files and programs as much as you like on this drive."
Funciona con window 10 en una pc?,"Si amigo, perfectamente"
"Im looking to purchase a longer cable for this wd portable (hdd) hard drive, will this work? tia for the assist. https://www.amazon.com/dp/b06w55k9n",I see no reason why a longer cable would be a performance factor.
Will this work with a HP,It is set up for use on PC or Mac so I'm sure it would work with HP. Works great on my Mac.
How many gigabytes does this have?,"A terabyte is equal to 1000 gigabytes, so a 2 TB drive like this one stores 2000 GB (more or less)."
does it transfer from sd card from chromeos to the portable drive?,"I belive it will transfer from any source as long as the Portable HD and the source are conected into the same device (PC, Mac, ChromeOS) at the same time (directly) or by copy and then transfer to the Portable HD."
does this require a lithium polymer battery and if so what size?,Thank you for your interest in the products we sell.
where are they manufactured?,California
Is this external hard drive compatible with Windows 10?,Yes.
I will not be putting files 4G or larger on it and am going to format it to Fat32. Is it durable to move from place to place?,You will also have to partition it since FAT32 cannot read partitions larger than 2TB. Its a portable drive.
Can this be formatted to work with OS X 10.6?,Yes with instructions from google
is this compatible with windows 10,"It should be fine I 2 WD portable HD's and I run them on windows 10 Pro, although mine are only a 1 TB and a 2TB, but I don't see why that would make any difference."
will this work with a playstation 4 and with a wii u?,definitely works with ps4 as i bought it specifically for my ps4. not sure about wii u
"Ps4 says it is not supported, how do i fix this?",It has to be formatted by the device before it will be compatible.
Bought this and some how it got corrupted and not working anymore is there anyway to get a refund or replacement,Awesome
is this compatible with Playstation?,Yes it is
Will this drive work with my macbook pro for backing up photos and videos from my icloud?,"Yes, as long as you have access to your icloud."
Can this be used for an external video surveillance since wd purple is only internal hdd?,"yes, works with both systems"
Can i save files from both a pc and a macbook to it?,No
can i back up my entire computer with this hard drive ? Is there a back up program ? I have a desktop with Windows 10,I use Acronis True Image with my WD Elements HD to back up my entire laptop continuously. You can also use Acronis True Image to perform scheduled backups and select individual folders to include in your backups.
this will work for iMacs???,Yes. Just reformat with Apple Disk Utility. Only takes a minute.
Can this be used with a macbook pro el capitan os?,Do not know the answer
Wd 3tb elements portable external hard drive - usb 3.0 - is this compatable with windows xp?,can do
Can i use this hard drive for both windows and apple operating systems?,"You could but ur gonna have some format issues, windows and ios use diferent format for it storage system."
Does this work with a MacBook Air 2019,Yes
If I wanna transfer a game to update at anothers persons house with WiFi will it work?,Yes. Wifi is irrelevant. As long as they are both pcs or both macs it should work fine.
How many extra hours of tivo recordings do I get with 2 terabyte external drive?,"Depending for full HD and full HD at 60fps. and of in 4K and even in 4K at 60fps. and or if you'll use compression for even longer storage hour. All of the above; you're looking at more than 24 hours, sometime even more. With compression at 1080p still look very good at 1 week of video storage even with very high audio see more"
?es SSD o mecanico?,mec?nico
"Is this a usb ""c"" to usb ""a"" cable ? thanks","Yes. The ""C"" connects to the drive, and the ""A"" connects to your USB 3 port."
Will this work with an Ipad pro?,"These drives are OS specific and cant be cross formatted. Make sure you get a MAC one, though I still would not buy it."
I'm looking at transferring all of my physical blu ray movies to digital. Will this work on doing that?,Yes I use my with Tablo to record all my tv show and movie. Stores then with great playback quality
Se puede utilizar para windows 8,por supuesto trabaja perfecto con w8
Does it have a limitation for file names?,No
will this work with my MacBook Pro 10.13.4 ?,Yes
I have a new macbook pro with usb-c. will this work if i use an adaptor to usb?,Not sure on Mac
Can i use this portable drive right out of the box to back up my pc (running windows 7)?,I don't see why not. I use Windows 10 but no drivers were needed. Just plug in wait for the computer to recognize it and you should be good to go.
I have a Macbook pro. Can i create multiple partitions?,"Excellent day Larry I understand that you have doubts about the use of the WD 2TB Elements Portable External Hard Drive you would like to know if it's possible to create multiple partitions in this device using a Macbook pro, I will be glad to provide you with the needed information."
(ps4) does this work for pc and ps4? i cant find a decently priced external storage for my ps4 and i need one badly.,"Works great for a PC, not sure about the PS4"
I don't understand the dimensions...is it that small?,"No, it is not that small. It is a typo. Actual dimensions:2.99 x 4.47 x 0.38 in"
May i access it through my mac and windows laptop? o ive to buy two units?,I use it with my laptop Windows. Don't know about Mac.
"Is the hard drive 2.5"" or 3.5""?","The Hard Drive is a 2.5"""
will this backup wireless?,it requires usb wire included
"Wd element was working fine with my macbook pro now it stop working. i get this error ""the disk you inserted was not readable by this computer?","It's not working any more. You might need to reformat the disk, if you can still view it in disk management."
Is this an effective external back-up drive for Windows 10 -- my internal D:/ back-up drive has no more storage room?,Its worked great for me! Plenty of space on it for me to run programs from there and transfer data to it. I use windows 10 as well.
Does this work with the wii u? I had bought one of this but all it keeps saying is checking usb device. What am i doing wrong?,"There should be a ""help"" line listed on the box included with the device."
Is this a single disc or more?,It is a single disc and it has worked fine for over 2 years so far now.
Does this drive allow for encryption ?,In my experience I have never encountered a disk drive that didn't allow encryption. But then I've not experienced everything.
Is it easy to use?,"Yea, until it fries and you lose everything a week after purchasing"
"I have a mac, purchased a wd elements. am i reformatting correctly? i plugged it in, and chose it, but it says it is going into time machine.","Use Disk Utility in your Utilities folder. Select the drive, click Erase, select the format (usually Mac OS Extended journaled) and name. You will get a warning saying the drive will be erased. Click Erase. Time Machine is not involved in the process. Sometimes the firs attempt fails. Just try again."
does this have auto backup,No I don't believe it does. Nothing on mine has backed up automatically.
Does it fix Xbox error codes?,It actually makes your Xbox into a PlayStation.
does it come with the usb cable?,YES
When I search for solid-state drives why does this item show up?,Its a nice SSD.
Will this work for computer games such as pubg or even with other newer games?,"I do not play pc games, and use this portable drive to store my files."
Does it work with Mac i0s and is reformatting it difficult?,Dont know...my external drives all operate off my MacBook Pro through a USB hub. Check the WD specs. Reformatting a Western Digital PC external to Mac is not difficult but you can get a Mac version for only a small premium if you shop around.
Does it work on the first xbox one? i have the oldest xbox one and wanna make sure it works before i purchase.,it will work for sure. becoz this drive also backward comptiable for USB 2.0
Does it store downloaded software?,Yes. You can save anything onto the drive.
Can i lock this system,Yes you can set a password
does the usb cable come with this drive?,"Yes it does, but it is extremely short. Unless you have a laptop and plan on keeping your drive right behind the laptop (5 inches away), it's too short. The cable is too short for use with a PC tower."
Will the wd 2tb hd work on a mac running mojave (or later)?,It should be fine so long as you properly format it first time plugging it in.
Will this work with my fire tablet?,I dont think it will dont know
Este art?culo (2 tb) es totalmente nuevo (sin abrir)?,Si
is this mac compatible,Should be!
Is this a solid state drive?,No it is not. I have it on my Xbox 1 X and it works perfect.
what external hard drive is formatted for Windows 4.0?,Fat 32
can i transfer files from one computer to another,"Short answer, YES."
can I record movies with this off of the dish wally receiver?,you have to call dish once you plug it in and pay for dvr service for a wally box.
Is this a solid state drive,Not sure what you mean by solid state but it is working very well for me and so far have no issues. I'm very pleased with my purchase.
Does it work with windows xp and 10?,"I have windows 10 - 64bits and it works fine, just plug and play"
does this drive work with windows xp and windows server 2003? can it be formatted with NTFS,Use with both pc n mac formatting n os.
Can it be used with DirectTV?,Not sure..i use it with an indoor antenna and it works fine
Does it work for HP Windows 10 laptops?,"Its formatted for windows and easy to format if it doesnt automatically recognize your laptop. Get the 2TB if you have the funds, nice to have the extra space."
I'm trying to download my photos (on my mac) from pixieset. how do i get them on the external hard drive?,you need to download an app to recognize the external hard drive(thats how macs work)
Work as a pvr?,"If you mean will it work with a TV to play video files, I would expect that it would depend on your TV. Works fine with my Samsung. If that's not what you're referring to, sorry, don't understand."
Is the 5tb one hard drive inside or two?,One
can I work on PC and Mac with this one without having to reformat?,You can if you reformat the drive to exFAT.
Does the external hard drive comes with the usb cable ???? or just the hard drive?,"The external hard drive comes with the USB cable to connect to your computer, yes"
Would this work with a Samsung Note 9?,This will work with anything
I have an older pc ...gateway from 2012. i just want the 2tb to back up my high res photos. i probably have 6000+ photos. is the 2tb a good fit ? than,"If your photo files have been saved as JPEGs, you should have no problem using the 2TB Elements. However, high resolution TIFF files often take up much more space and depending on the individual file size times 6000 plus images, you may be pushing the capacity limit of the 2TB drive. That being said, I have found the m see more"
Today this product randomly stopped working. The PS4 can not read the device (firmly plugged in). Has this happened to anyone else? Any solutions?,No I have never had it just stop working for me. I also don't use it with a PS4.
My samsung tv cant recognize this hard drive. it is formatted fat32. i use mp4 and mkv firmares just like my seagate drive.,"I think it's formatted for NTFS if you need it in FAT32, simply plug it into a Windows PC browse to the drive right click> format. The some options in a box while pop up, look for a drop-down menu and select FAT32."
How do I see my password hint?,With your left eye...
Does it use usb c,Yes
is this 3TB WD element hard drive will put into sleep mode after few minutes?,"No, it stays active while the device that you plugged it into stays powered on"
Does this come with cables?,It comes with a usb cord. USB powered
Does this drive come with a usb 3.0 to usc c cable (so i can plug it in to my macbook pro)?,"Not that I'm aware of. We don't use any Mac equipment and not familiar with their connections, sorry !"
"Once i reformat this for my mac, will i still be able to use it on my pc?","No. If you want to use it for both, format it exFAT. Alternatively, you can partition the drive with a portion formatted for each system."
"I'm assuming this isn't an SSD, is that correct?","Correct, it's HDD ""Hard Drive"""
Does this drive work with Windows 2000 Professional?,Yes!
Does it work for a first gen ps3?,"Not sure , but it should"
Can I use this for my PS4,Yes I bought it for my PS4. You will have to google how to set it up!
Does this drive play mp3 music files?,It does not play anything. It is a storage device. You can store your mp3 file on it however.
How tall (or thick) is the internal drive in millimeters for the 4TB version?,? I have 2TB
"what is the warranty for the 4TB? also, when files are restored are they exactly like they were when they were backed up with no renaming?",Warranty info - read the description.
Does this work with Ipad ?,"I havent use it that way before , but I am hopeful"
Can this be plugged into a usb 3.1 port?,"Yes, USB ports are backwards compatible."
does it work for the ps4?,Yes!! This has been answered previously
Why don't i get 2tb..it's only saying 1.82tb? what,"Assuming you are using Windows, Microsoft actually reports storage space in units of Gibibytes instead of Gigabytes. A Gibibyte is 1024^3 bytes, whereas a Gigabyte is 1000^3 bytes. The hard drive manufacturers list their storage in Gigabytes."
Is this an ssd ?,Don't know what ssd is. Call western digital customer service (pre-purchase option on menu).
"Is this compatible with windows xp professional? it's a workstation, not a laptop",It will run with that version of Windows I'm pretty sure but best look at online instructions
Can i back up my iphone with this?,I backed up my MacBook Air via the time machine. It did require me to format the drive to EXFAT which I learned through Google.
Does it works with laptop that only has 3.1 usb?,I dont know. But it sure does work with my Xbox one with no problems.
Sirve para Xbox one,No lo he comprobado personalmente pero el blog WindowsCentral seleccion? precisamente al WD Elements de 2TB como una opci?n recomendada para la Xbox One.
Can it be used for an xbox one x,It sure can! You might have to reformat it with a computer before you can use it depending on what your Xbox One X File System is. I hope this helps and I hope you have a great day/weekend!
I just want to move pictures from my Mac. Do I need to reconfigure it for that?,You need to reformat it.
Will this device work with a ps4?,Yes! Plug and play format with playstation set as save location it's great so far...
Will this work for xbox one?,I don't know. I don't own the xbox one.
Does it work with the ps4?,"Yes, it works on ps4, you have to connect the hard drive to ps4 and go to configurations and format the disk like a external storage"
Has anyone used it in a car that's usb equipped? i have a 2015 ram pickup and i would like to have this replace using my phone.,this is just a hard drive.. that's all it is.. it connects with USB not bluetooth or any of that and I don't think it would work for that phone use in car thing.. if you install the software using a computer and put in a bluetooth usb and also had usb power to it off your cigarette lighter.. i don't know.. maybe.. a lo see more
Plastic or aluminum case?,It is housed in a plastic case.
How many amps does this drive require?,I do not now.
Does this work with ps4?,Yes
HEOS compliant,Its a USB storage hard drive.
Two questions...could I transfer data directly from my phone onto this hard drive and does it come with the cord needed?,"It comes with a cord to plug into, the slimmer one that goes into the hard drive and the usb end to go into your computer... Im not sure if they make a cord that could plug into this and your phone..."
do i have to reformat for mac?,"No, but I would."
Are the cords seperate?,"There's only 1 cord that powers,runs and transfers everything."
Does this come with recovery software?,"Dont buy this product, there is a connecting problem. It works fine for a while and then suddenly it does not connect through windows."
Does it require external power or only power via USB?,Only powered through provided USB cable.
Can it be used on a PS4?,It can be work in it but I am not a gamer person. Ask someone else. Thanks for asking me. The reason I. Using for my essay in college.
Can password function be disable?,I do not know what you mean
What is the weight,Very lightweight both 2 n 4 tb drives.
Does this work with Microsoft Surface Pro 3?,"It worked well with my mac, I don't know about pro 3."
Does wd 2tb external hard drive come with usb cable,Yes but cable is only about a foot long.
Doe wd 2tb elements portable external hard drive - usb 3.0 - wdbu6y0020bbk work with an imac?,Only if you format it to work with MAC OS which is an HFS+ Format.
Is it compatible with mini max and catalina os,I just use it with my desk top. don\xb4t know about mini max and catalina os- Sorry
will it work with 2 different pc?,"Excellent day Ed I understand that you have doubts about the use of the WD 2TB Elements Portable External Hard Drive, you would like to know if the device would work correctly in two different computers, I will be glad to provide you the needed support."
Does the company connect this to the internet to collect your private information and sell it to advertisement companies?,Not that Im aware of
will this work with Windows 7 Home Premium (don't laugh! :) ),"Hello friend, How are you?"
formatted for mac,I have an Acer and it works great
is it possible to attach this to a network instead of the usb?,Nothing in the instructions shows how to connect directly to network
can it be used to expand the space on my dvr,"It comes with a standard USB connection cord, so as long as the DVR system has means to connect to that type of media device, it should work. You may also look online or YouTube your specific model (DVR) to make sure it's compatible before purchase, also to get a step by step guide."
Does it work?,works great
Why is my backup taking twice as long? Why does it take 10 minutes to eject the hard drive?,"Are you sure you are using a USB 3 port? My experience is I get about 8-12 MB/Sec on USB 2 and 100-120 MB/Sec on USB 3.0 on an HP 255 G5 Notebook. As for eject failures or delays, Make sure nothing else has accessed the drive (e.g. Win File Explorer. I have noticed that Win 10 sometimes takes awhile before it allows me see more"
Does this work with playstation 4? Can i save stuff in here?,"Yes, i have a ps4 500gb and it work."
will this work for sims 3 that keeps crashing due to lack of memory?,"Excellent day I understand that you have doubts about the use of the WD 2TB Elements Portable External Hard Drive you would like to know if it will work for a Sims 3 that keeps crashing for lack of memory, I will be glad to provide you the needed information."
"Will this work for xb1 or xb1x, like if I want to transfer game from xb1 to xb1x",It should work just fine.
Is this drive mbr or gpt?,I don't believe it states it on the drive info take a look but you can reformat it to your needs.
Can I use with fire stick?,I don't understand the question. Look on line for answer.
Does it work across multiple pcs? had a bad experience in the past where my drive would only open on one pc.,"It works on the two pcs I have both with 2.0 USB ports . Also one has windows ten, and the other has windows 7 Pro"
Is this compatible with PS4?,No
Does it work with Apple Macbook?,Yes. It works with Mac. But it does need to be reformatted to HFS+
Will this work for an iPad Pro ?,I doubt it. Ive never seen an iOS device work with an external hard drive.
Will this work with an old Vista system?,Works with WIN7..so maybe will with Vista with the right drivers. Its a standard portable HD. Ask WD on their chat.
"can I keep it connected to windows 10 computer, and will it automatically do backups from my computer","It depends on the software you are using to back things up. If the software can store the target drive's location and schedule frequent backups to write the target drive, yes, it will work. There is no software built-into this external drive. It is all up to the connected PC to do the work."
"I placed an order on the 23rd of March, however delivery isn't expected until 21 April. Is this item not in stock?",ask amazon
does it work with xbox,Yes it worked with my Xbox one!
will this work with a waly ?,Waly is Scottish for grief or a Radio Station in PA. Maybe you misspelled the word or meant something different. Either way it has a USB 3.0 cable and you have to format the hard drive for it to work.
Its not letting me drag and drop files on my macbook?,"Try this first: select the icon of the drive and press ""command-i"" to ""get info"" on the drive. At the bottom of the window, you should see Name (users) and Privilege. You want to be sure that your user name shows Read & Write. Select your name and then click on the privilege side if you have to change from ""Read only"""
Do you have to register it before using it? Or do you just plug it in and drag and drop files?,"Plug it in, drag and drop for windows, if you have Chrome OS you have to format the hard drive which takes less than a minute after plugging it in."
Does this work for the PlayStation 4?,Yes I bought it for my ps4
"Help? When i plug in drive it doesn't start backup like other external drives have done, asks what to do if encounters unrecognized file format, stops",Format drive and start over.
I've run out of space on my ms surface pro 3. could i put programs on this and also store info to it as well?,"Yes, as long as you have an interface cable and disc is win formatted (it stil can be reaad by most macs in recent os's"
How do you make this work for a Mac?,Yes! It is the light and easy to use!
